imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
Frozen Planet,31,TV Mini Series,No,2011,2012,9.0,"35,600",410,50,['BBC One'],United Kingdom,['Documentary'],"['BBC', 'Discovery Channel', 'Atresmedia Cine', 'ZDF', 'ΣΚΑΪ', 'Open University']",N.A.,7,1,['David Attenborough'],[],['BBC Natural History Unit'],N.A.,['Alastair Fothergill'],"['Vanessa Berlowitz', 'Mark Linfield', 'Miles Barton', 'Kathryn Jeffs', 'Dan Rees']",N.A.,N.A.
Human Planet,32,TV Mini Series,No,2011,2011,9.0,"29,700",468,50,['BBC One'],United Kingdom,['Documentary'],['France Télévisions'],Dale Templar,8,1,['John Hurt'],[],N.A.,N.A.,"['Brian Leith', 'Dale Templar']","['Nicolas Brown', 'Mark Flowers', 'Tom-Hugh Jones', 'Tuppence Stone']","['Pete Haynes', 'Matt Norman', 'Toby Strong', 'Robin Cox', 'Timothy Allen']",N.A.
Hunter x Hunter,33,TV Series,No,2011,2014,9.0,"167,000","3,503",24,['NTV'],Japan,"['Action', 'Adventure', 'Anime', 'Fantasy', 'Science Fiction']","['Madhouse', 'Nippon Television Network Corporation (NTV)', 'VAP', 'Shueisha']",N.A.,148,3,"['Megumi Han', 'Mariya Ise', 'Issei Futamata', 'Miyuki Sawashiro', 'Keiji Fujiwara']","['Miyuki Sawashiro', 'Keiji Fujiwara', 'Daisuke Namikawa', 'Noriko Hidaka', 'Takahiko Sakaguma', 'Yuya Murakami', 'Mina Tominaga', 'Miho Arakawa', 'Takuma Suzuki', 'Tomoya Kawai', 'Mamoru Miyano', 'KENN', 'Hidenobu Kiuchi', 'Rena Maeda', 'Naoya Uchida']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Only Fools and Horses,34,TV Series,No,1981,2003,9.0,"59,900","1,576",30,['BBC One'],United Kingdom,['Comedy'],['BBC'],John Sullivan,45,7,"['David Jason', 'Nicholas Lyndhurst', 'Buster Merryfield', 'Lennard Pearce', 'Tessa Peake-Jones', 'Sue Holderness', 'Roger Lloyd Pack', 'John Challis', 'Gwyneth Strong', 'Patrick Murray']","['Roger Lloyd Pack', 'Jamie Smith', 'John Challis', 'Ben Smith', 'Kenneth MacDonald', 'Paul Barber', 'Grant Stevens', 'Sue Holderness', 'Peta Bernard', 'Diane Langton', 'Gwyneth Strong', 'Roy Heather', 'Robert Liddement', 'Tessa Peake-Jones', 'Patrick Murray']",['John Sullivan'],['John Sullivan'],"['Ray Butt', 'Bernard Thompson', 'Gareth Gwenlan', 'John Sullivan']",N.A.,N.A.,N.A.
Dexter: Resurrection,35,TV Series,Yes,2025,,9.1,"14,500",269,50,['Paramount+ with Showtime'],United States,"['Crime', 'Drama']","['Clyde Phillips Productions', 'Sal Centric', 'Counterpart Studios', 'Showtime Studios']",Clyde Phillips,5,1,"['Michael C. Hall', 'Jack Alcott', 'David Zayas', 'James Remar', 'Uma Thurman', 'Emilia Suárez', 'Ntare Guma Mbaho Mwine', 'Kadia Saraf', 'Dominic Fumusa', 'Peter Dinklage']","['Sharon Hope', 'David Magidoff', 'Marc Menchaca', 'Bryan Lillis', 'Jason Alan Carvell', 'McKaley Miller', 'Darius Jordan Lee', 'Jill Marie Lawrence', 'Reese Antoinette', 'Eric Tabach', 'Liam Delgado', 'Krysten Ritter', 'John Lithgow', 'Erik King', 'Jimmy Smits']",N.A.,N.A.,"['Clyde Phillips', 'Scott Reynolds', 'Marcos Siega', 'Hilly Hicks Jr.', 'John Goldwyn', 'Sara Colleton', 'Tony Hernandez', 'Lilly Burns', 'Michael C. Hall']",N.A.,"['Joe Collins', 'Radium Cheung']","['Perri Frank', 'Katie Ennis', 'Louis Cioffi', 'Gaston Jaren Lopez', 'Sean Cusack']"
Firefly,36,TV Series,No,2002,2003,8.9,"292,000",524,44,['FOX'],United States,"['Adventure', 'Drama', 'Science Fiction']","['Mutant Enemy Productions', '20th Century Fox Television']",Joss Whedon,11,1,"['Nathan Fillion', 'Gina Torres', 'Alan Tudyk', 'Morena Baccarin', 'Adam Baldwin', 'Jewel Staite', 'Sean Maher', 'Summer Glau', 'Ron Glass']","['Michael Fairman', 'Jeff Ricketts', 'Dennis Cockrum', 'Zac Efron', 'Gerard J. Reyes', 'Mark Sheppard', 'Christina Hendricks', 'Gregory Itzin', 'Isabella Hofmann', 'Carlos Jacott', 'Melinda Clarke', 'Damion Poitier', 'Tom Towles', 'Andrew Bryniarski', 'Gregg Henry']",['Joss Whedon'],N.A.,"['Joss Whedon', 'Tim Minear']",['Ben Edlund'],['David Boyd'],['Lisa Lassek']
The Civil War,37,TV Mini Series,No,1990,1990,9.0,"21,200",690,76,['PBS'],United States,"['Documentary', 'War', 'Drama']","['Florentine Films', 'American Documentaries Inc.', 'Kenneth Lauren Burns', 'WETA', 'Time-Life Video']",N.A.,9,1,"['David McCullough', 'Sam Waterston', 'Julie Harris', 'Jason Robards', 'Morgan Freeman', 'Paul Roebling', 'Garrison Keillor', 'George Black', 'Arthur Miller', 'Christopher Murney', 'Charles McDowell', 'Horton Foote', 'George Plimpton', 'Philip Bosco', 'Terry Courier', 'Jody Powell', 'Studs Terkel', 'Hoyt Axton', 'John Hartford', 'Colleen Dewhurst', 'Shelby Foote', 'Ronnie Gilbert', 'Jeremy Irons', 'Gene Jones', 'Derek Jacobi', 'Kurt Vonnegut', 'Laurence Fishburne', 'Pamela Reed', 'M. Emmet Walsh']",[],N.A.,['Geoffrey C. Ward Ric Burns'],N.A.,['Ken Burns Ric Burns'],['Ken Burns Allen Moore Buddy Squires'],['Paul Barnes Bruce Shaw Tricia Reidy']
Death Note,38,TV Series,No,2006,2007,8.9,"428,000",848,22,['NTV'],Japan,"['Anime', 'Mystery', 'Fantasy', 'Horror', 'Suspense']",['Madhouse'],N.A.,37,1,"['Mamoru Miyano', 'Shido Nakamura', 'Aya Hirano', 'Kappei Yamaguchi', 'Kimiko Saito', 'Naoya Uchida', 'Ryou Naitou', 'Keiji Fujiwara', 'Kazuya Nakai', 'Noriko Hidaka', 'Nozomu Sasaki']","['Ai Satou', 'Haruka Kudou', 'Kiyoshi Kobayashi', 'Naoko Matsui', 'Hideo Ishikawa', 'Chafurin', 'Masumi Okamura', 'Tomohiro Nishimura', 'Takeharu Oonishi', 'Tetsuo Goto', 'Ami Koshimizu', 'Katsuhisa Houki', 'Kensuke Nishi', 'Hidenobu Kiuchi', 'Masaru Ikeda']",N.A.,['Toshiki Inoue'],N.A.,N.A.,N.A.,N.A.
As If,39,TV Series,No,2021,2025,9.0,"30,000","3,027",40,['Exxen'],Turkey,['Comedy'],"['Cebeci Yapım', 'Özcanlar Yapım Sarayı']",Feyyaz Yiğit,68,6,"['Feyyaz Yiğit', 'Kivanç Kilinç', 'Ahmet Kürşat Öçalan']","['Ümran Şakir', 'Ezgi Ay', 'Celal Öztürk', 'Ahmet Kürşat Öçalan', 'Fatih Aker', 'Etkin Berke Kocagil', 'Nebi Tolga Yilmaz', 'Adnan Yilmaz', 'Burak Güngör', 'Ayhan Önem', 'Burak Güneş', 'Özer Arslan', 'Ferda Işil', 'Eray Sel', 'Can Güneş']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Gravity Falls,40,TV Series,No,2012,2016,8.9,"161,000",942,22,"['Disney XD', 'Disney Channel']",United States,"['Animation', 'Comedy', 'Mystery', 'Fantasy', 'Science Fiction', 'Children', 'Action', 'Adventure', 'Family']",['Disney Television Animation'],Alex Hirsch,40,2,"['Jason Ritter', 'Kristen Schaal', 'Alex Hirsch', 'Linda Cardellini']","['Kevin Michael Richardson', 'Matt Chapman', 'John DiMaggio', 'Gregg Turkington', 'Kari Wahlgren', 'Keith Ferguson', 'Carl Faruolo', 'Jennifer Coolidge', 'Dee Bradley Baker', 'Niki Yang', 'Will Forte', 'T.J. Miller', 'Grey DeLisle', 'Mike Rianda', 'Thurop Van Orman']",['Alex Hirsch'],N.A.,['Alex Hirsch'],"['Tobias Conan Trost', 'Brian Doell', 'Suzanna Olson']",N.A.,['Kevin Locarro']
Seinfeld,41,TV Series,No,1989,1998,8.9,"370,000","4,314",42,['NBC'],United States,['Comedy'],"['West-Shapiro', 'Castle Rock Entertainment', 'Fred Barron Productions', 'Giggling Goose Productions']",Larry David,180,9,"['Jerry Seinfeld', 'Jason Alexander', 'Michael Richards', 'Julia Louis-Dreyfus']","['Ruth Cohen', 'Wayne Knight', 'Larry David', 'Heidi Swedberg', 'Norman Brenner', 'Estelle Harris', 'Jerry Stiller', 'Liz Sheridan', 'Barney Martin', ""John O'Hurley"", 'Len Lesser', 'Richard Herd', 'Deck McKenzie', 'Peggy Lane', 'Lee Bear']","['Larry David', 'Jerry Seinfeld']",N.A.,"['Larry David', 'George Shapiro', 'Howard West', 'Andrew Scheinman', 'Jerry Seinfeld', 'Alec Berg', 'Jeff Schaffer']",N.A.,N.A.,N.A.
The Pitt,42,TV Series,Yes,2025,,8.9,"55,800",737,48,['Max'],United States,['Drama'],"['John Wells Productions', 'Warner Bros. Television', 'R. Scott Gemmill Productions']",R. Scott Gemmill,15,2,"['Noah Wyle', 'Tracy Ifeachor', 'Patrick Ball', 'Katherine LaNasa', 'Supriya Ganesh', 'Fiona Dourif', 'Taylor Dearden', 'Isa Briones', 'Gerran Howell', 'Shabana Azeez']","['Amielynn Abellera', 'Jalen Thomas Brooks', 'Brandon Mendez Homer', 'Kristin Villanueva', 'Ned Brower', 'Joanna Going', 'Alexandra Metz', 'Krystel McNeil', ""Jeanette O'Connor"", 'Johnath Davis', 'Ambar Martinez', 'Michael Hyatt', 'Tracy Vilar', 'Brandon Keener', 'Samantha Sloyan']",['R. Scott Gemmill'],N.A.,"['R. Scott Gemmill', 'John Wells', 'Noah Wyle', 'Michael Hissrich', 'Erin Jontow', 'Simran Baidwan']",N.A.,['Johanna Coelho'],"['Mark Strand', 'Joey Reinisch', 'Lauren Pendergrass', 'Annie Eifrig']"
Dekalog,43,TV Mini Series,No,1989,1990,8.9,"29,100",588,55,['TVP1'],Poland,['Drama'],"['Sender Freies Berlin', 'Telewizja Polska', 'Zespół Filmowy ""Tor""']",N.A.,10,1,[],"['Artur Barciś', 'Henryk Baranowski', 'Krzysztof Kumor', 'Aleksander Bardini', 'Jan Tesarz', 'Krystyna Janda', 'Olgierd Łukaszewicz', 'Maciej Szary', 'Stanisław Gawlik', 'Piotr Machalica', 'Katarzyna Piwowarczyk', 'Olaf Lubaszenko', 'Wojciech Klata', 'Maja Komorowska', 'Agnieszka Brustman']",N.A.,"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']",N.A.,['Ryszard Chutkowski'],"['Wieslaw Zdort', 'Piotr Sobociński']",['Ewa Smal']
The Beatles: Get Back,44,TV Mini Series,No,2021,2021,8.9,"32,500",468,42,['Disney+'],New Zealand,['Documentary'],"['Apple Corps', 'WingNut Films']",Peter Jackson,3,1,"['John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr']","[""Denis O'Dell"", 'Michael Lindsay-Hogg', 'Mal Evans', 'Kevin Harrington', 'Yoko Ono', 'George Martin', 'Glyn Johns', 'Neil Aspinall', 'Anthony B. Richmond', 'Peter Sutton', 'Paul Bond', 'Ethan Russell', 'Peter Brown', 'Linda McCartney', 'Shymasundar Das']",N.A.,N.A.,"['Jeff Jones', 'Ken Kamins']","['Paul McCartney', 'Ringo Starr', 'Yoko Ono Lennon', 'Olivia Harrison', 'Peter Jackson', 'Clare Olssen', 'Jonathan Clyde']",N.A.,['Jabez Olssen']
True Detective,45,TV Series,Yes,2014,,8.9,"712,000","1,773",55,['HBO'],United States,"['Drama', 'Mystery']","['Passenger', 'Anonymous Content', 'Lee Caplin / Picture Entertainment', 'HBO', 'Parliament of Owls', 'Neon Black', 'Peligrosa']",Issa López,30,4,"['Matthew McConaughey', 'Colin Farrell', 'Mahershala Ali', 'Woody Harrelson', 'Vince Vaughn', 'Stephen Dorff', 'Michelle Monaghan', 'Rachel McAdams', 'Carmen Ejogo', 'Michael Potts', 'Taylor Kitsch', 'Scoot McNairy', 'Tory Kittles', 'Kelly Reilly', 'Ray Fisher', 'Jodie Foster', 'Kali Reis', 'Fiona Shaw', 'Finn Bennett', 'Isabella Star LaBlanc', 'John Hawkes']","['Chris Kerson', 'Ritchie Coster', 'Christopher James Baker', 'Afemo Omilami', 'James Frain', 'Abigail Spencer', 'Dana Gourrier', 'Madison Wolfe', 'J.D. Evermore', 'Andy Mackenzie', 'Michael Irby', 'Timothy V. Murphy', 'Yara Martinez', 'Adria Arjona', 'Alain Uy']",['Nic Pizzolatto'],N.A.,"['Nic Pizzolatto', 'Cary Joji Fukunaga', 'Scott Stephens', 'Matthew McConaughey', 'Woody Harrelson', 'Steve Golin', 'Richard Brown', 'Daniel Sackheim', 'Jeremy Saulnier', 'Bard Dorros', 'Chris Mundy', 'Barry Jenkins', 'Adele Romanski', 'Mark Ceryan', 'Alan Page Arriaga', 'Jodie Foster', 'Mari-Jo Winkler-Ioffreda', 'Issa López']","['Carol Cuddy', 'Aida Rodgers', 'Peter Feldman', 'Sam Breckman', 'Princess Daazhraii Johnson', 'Cathy Tagnak Rexford', 'Layla Blackman']","['Adam Arkapaw', 'Nigel Bluck', 'Germain McMicking', 'Florian Hoffmeister']","['Alex Hall', 'Affonso Gonçalves', 'Meg Ritcher', 'Chris Fiegler', 'Byron Smith', 'Leo Trombetta', 'Matt Chessé']"
Cowboy Bebop,46,TV Series,No,1998,1999,8.9,"157,000",650,25,"['TV Tokyo', 'WOWOW Prime']",Japan,"['Action', 'Adventure', 'Science Fiction', 'Anime', 'Fantasy', 'Western']","['SUNRISE', 'Bandai Visual', 'Sound Box']",N.A.,26,1,"['Koichi Yamadera', 'Unsho Ishizuka', 'Megumi Hayashibara', 'Aoi Tada']","['Isshin Chiba', 'Hiroshi Naka', 'Tsutomu Tareki', 'Miki Nagasawa', 'Toshihiko Nakajima', 'Jin Hirao', 'Kazuhiro Nakata', 'Shinpachi Tsuji', 'Norio Wakamoto', 'Takehiro Koyama', 'Kiyomitsu Mizuuchi', 'Gara Takashima', 'Naoki Makishima', 'Takehiro Murozono', 'Yutaka Nakano']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Nathan for You,47,TV Series,No,2013,2017,8.9,"43,100",714,21,['Comedy Central'],United States,"['Comedy', 'Documentary']","['WDM', 'Abso Lutely Productions', 'Blow Out Productions']",Nathan Fielder,31,4,['Nathan Fielder'],"['William Heath', 'Anthony Filosa', 'Victoria Hogan', 'H. Jon Benjamin', 'Trisha Paytas', 'Anthony Napoli', 'Ronnie Rodriguez', 'John Kim', 'Jessee Foudray', 'Cesar Davila', 'Tessa Freberg', 'Mark Paskell', 'Jakob Skrzypa']",['Nathan Fielder Michael Koman'],N.A.,"['Nathan Fielder', 'Michael Koman', 'Dave Kneebone', 'Tim Heidecker', 'Eric Wareheim', 'Leo Allen', 'Dan McManus', 'Christie Smith']","['Clark Reinking', 'Dave Paige']",N.A.,N.A.
Fargo,48,TV Series,No,2014,2024,8.8,"448,000","2,674",53,['FX'],United States,"['Drama', 'Crime']","['26 Keys Productions', 'Littlefield Company', 'Mike Zoss Productions', 'MGM Television', 'FX Productions']",Noah Hawley,51,5,"['Chris Rock', 'Jessie Buckley', 'Jason Schwartzman', 'Ben Whishaw', 'Jack Huston', 'Salvatore Esposito', 'Emyri Crutchfield', 'Anji White', 'Jeremie Harris', 'Matthew Elam', 'Corey Hendrix', 'James Vincent Meredith', 'Francesco Acquaroli', 'Gaetano Bruno', 'Karen Aldridge', 'Billy Bob Thornton', 'Juno Temple', 'Patrick Wilson', 'Jennifer Jason Leigh', 'David Rysdahl', 'Allison Tolman', 'Colin Hanks', 'Joe Keery', 'Ewan McGregor', 'Lamorne Morris', 'Richa Shukla Moorjani', 'Martin Freeman', 'Sam Spruell', 'Ted Danson', 'Sienna King', 'Michael Stuhlbarg', 'Dave Foley', 'Jon Hamm', 'Kirsten Dunst', 'Carrie Coon', 'Jesse Plemons', 'Mary Elizabeth Winstead', 'Jean Smart', 'David Thewlis', 'Nick Offerman', 'Shea Whigham', 'Jeffrey Donovan', 'Rachel Keller', 'Bokeem Woodbine', 'Cristin Milioti', 'Zahn McClarnon', 'Angus Sampson']","['Brad Mann', 'Russell Harvard', 'Joey King', 'Bob Odenkirk', 'Rodney L Jones III', 'Andy Yu', 'Em Haine', 'Will Clinger', 'Conrad Coates', 'Olivia Sandoval', 'Kelsey Asbille', 'Timothy Olyphant', 'J. Nicole Brooks', 'Jameson Braccioforte', 'Rebecca Liddiard']",['Noah Hawley'],N.A.,"['Noah Hawley', 'Warren Littlefield', 'Joel Coen', 'Ethan Coen', 'Adam Bernstein', 'Geyer Kosinsk', 'John Cameron', 'Leslie Cowan']","['Kim Todd', 'Chad Oakes', 'Michael Frislev', 'Erik Holmberg']","['Dana Gonzales', 'Matthew J. Lloyd']",N.A.
Taskmaster,49,TV Series,Yes,2015,,9.0,"25,100","7,784",45,['Channel 4'],United Kingdom,"['Comedy', 'Game Show']",['Avalon Television'],Alex Horne,172,20,"['Greg Davies', 'Alex Horne', 'Asim Chaudhry', 'Babatunde Aléshé', 'Russell Howard', 'Andy Zaltzman', 'Alice Levine', 'Rosie Jones', 'Liza Tarbuck', 'Emma Sidi', 'Tim Vine', 'Jack Dee', 'Iain Stirling', 'Jessica Knappett', 'Phil Wang', 'James Acaster', 'Rhod Gilbert', 'Lou Sanders', 'Paul Sinha', 'Joe Thomas', 'Sian Gibson', 'Katy Wix', 'Rose Matafeo', 'Ed Gamble', 'David Baddiel', 'Jo Brand', 'Daisy May Cooper', 'Mawaan Rizwan', 'Johnny Vegas', 'Richard Herring', 'Katherine Parkinson', 'Charlotte Ritchie', 'Jamali Maddix', 'Lee Mack', 'Mike Wozniak', 'Sarah Kendall', 'Alan Davies', 'Guz Khan', 'Desiree Burch', 'Morgana Robinson', 'Victoria Coren Mitchell', ""Ardal O'Hanlon"", 'Bridget Christie', 'Chris Ramsey', 'Judi Love', 'Sophie Duker', 'Dara Ó Briain', 'Fern Brady', 'John Kearns', 'Munya Chawawa', 'Sarah Millican', 'Kiell Smith-Bynoe', 'Mae Martin', 'Frankie Boyle', 'Jenny Eclair', 'Ivo Graham', 'Julian Clary', 'Lucy Beaumont', 'Sam Campbell', 'Sue Perkins', 'Susan Wokoma', 'Joanne McNally', 'John Robins', 'Nick Mohammed', 'Sophie Willan', 'Steve Pemberton', 'Kerry Godliman', 'Fatiha El-Ghorri', 'Jason Mantzoukas', 'Mathew Baynton', 'Rosie Ramsey', 'Stevie Martin', 'Noel Fielding', 'Lolly Adefope', 'Mel Giedroyc', 'Hugh Dennis', 'Joe Lycett', 'Aisling Bea', 'Nish Kumar', 'Bob Mortimer', 'Mark Watson', 'Sally Phillips', 'Roisin Conaty', 'Tim Key', 'Frank Skinner', 'Josh Widdicombe', 'Romesh Ranganathan', 'Ben Bailey Smith', 'Paul Chowdhry', 'Rob Beckett', 'Richard Osman', 'Dave Gorman', 'Jon Richardson', 'Joe Wilkinson', 'Sara Pascoe', 'Katherine Ryan', 'Al Murray', 'Ania Magliano', 'Maisie Adam', 'Phil Ellis', 'Reece Shearsmith', 'Sanjeev Bhaskar']","['Fredrik Ahlén', 'Tim Key', 'Josh Widdicombe', 'Katherine Ryan', 'John Hannah', 'Krishnan Guru-Murthy', 'Rylan Clark', 'Nicola Coughlan', 'Shirley Ballas', 'Claudia Winkleman', 'Adrian Chiles', 'Sayeeda Warsi', 'Jonnie Peacock', 'Lady Leshurr', 'Amelia Dimoldenberg']",['Alex Horne'],N.A.,"['Richard Allen-Turner', 'James Taylor', 'Jon Thoday', 'Rob Aslett', 'Andy Devonshire', 'Alex Horne']",['Andy Cartwright'],N.A.,"['Thomas Perrett', 'Rebecca Bowker', 'Hunter Allen']"
Frieren: Beyond Journey's End,50,TV Series,Yes,2023,,8.9,"45,300",701,25,['KRY'],Japan,"['Anime', 'Adventure', 'Drama', 'Fantasy']","['Madhouse', 'Toho Company', 'Ltd.', 'Shogakukan', 'Nippon Television Network Corporation (NTV)', 'Shogakukan-Shueisha Productions', 'Aniplex', 'Dentsu']",N.A.,28,2,"['Atsumi Tanezaki', 'Kana Ichinose', 'Chiaki Kobayashi', 'Nobuhiko Okamoto', 'Hiroki Touchi', 'Yoji Ueda']","['Atsumi Tanezaki', 'Jiro Saito', 'Kana Ichinose', 'Kento Shiraishi', 'Sayumi Suzushiro', 'Ikumi Hasegawa', 'Eiji Hanawa', 'Chiaki Kobayashi', 'Haruka Terui', 'Shizuka Ishigami', 'Masafumi Kobatake', 'Azumi Waki', 'Shohei Komatsu', 'Yuichi Nakamura', 'Kisho Taniyama']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Persona,51,TV Series,No,2018,2024,9.0,"50,800","1,268",67,['Gain'],Turkey,"['Crime', 'Drama', 'Mystery']",['Ay Yapım'],Hakan Günday,22,2,"['Haluk Bilginer', 'Şebnem Bozoklu', 'Recep Usta', 'Cansu Dere', 'Metin Akdülger', 'Necip Memili', 'İbrahim Selim', 'Firat Topkorur', 'Erdal Özyağcilar', 'İlker Aksum']","['Ayşen İnci', 'Doğu Aytun', 'Müjde Ar', 'Hüseyin Avni Danyal', 'Nergis Öztürk', 'Ömer Duran', 'Hümeyra', 'Şenay Gürler', 'Volkan Uygun', 'Salih Usta', 'Onur Akgülgil', 'Alptekin Ertürk', 'Rabia Soytürk', 'Ayhan Kavas', 'Eda Şölenci']",N.A.,['Hakan Günday'],N.A.,['Kerem Catay & Pelin distas'],['Feza Çaldiran'],N.A.
Apocalypse: The Second World War,52,TV Mini Series,No,2009,2009,9.0,"15,500",319,1,['France 2'],France,"['Documentary', 'War']","['CC&C', 'Établissement de Communication et de Production Audiovisuelle de la Défense (ECPAD)', 'NHK', 'France 2 (FR2)', 'National Geographic', 'ECPAD']",Jean-Louis Guillaud,6,1,"['Mathieu Kassovitz', 'Dwight D. Eisenhower', 'Adolf Hitler', 'Franklin D. Roosevelt', 'Charles de Gaulle', 'Heinrich Himmler', 'Erwin Rommel', 'Joseph Stalin', 'Hermann Göring', 'Winston Churchill', 'Benito Mussolini']","['Władysław Sikorski', 'James Doolittle']",['Daniel Costelle Isabelle Clarke Jean-Louis Guillaud Henri de Turenne'],N.A.,N.A.,['CC&C ECPAD'],N.A.,N.A.
Africa,53,TV Mini Series,No,2013,2013,8.9,"19,000",344,360,['BBC One'],United Kingdom,['Documentary'],"['BBC', 'Discovery Channel', 'France Télévisions', 'CCTV']",N.A.,6,1,['David Attenborough'],"['Simon Blakeney', 'Martyn Colbeck', 'Paul Brehem', 'Justine Evans', 'Justin Maguire', 'Mark Deeble', 'James Aldred', 'Mark MacEwen', 'Kevin Flay', 'Hugh Miller', 'Hugh Pearson', 'Katrina Bartlam', 'Mohamed Hawash', 'Warwick Sloss', 'Matthew Wright']",N.A.,N.A.,['Mike Gunton'],['James Honeyborne'],N.A.,N.A.
When They See Us,54,TV Mini Series,No,2019,2019,8.8,"148,000",300,296,['Netflix'],United States,['Drama'],"['Participant Media', 'Harpo Films', 'Tribeca Productions', 'Forward Movement', 'ARRAY Filmworks']",Ava DuVernay,4,1,"['Asante Blackk', 'Jharrel Jerome', 'Ethan Herisse', 'Marquis Rodriguez', 'Caleel Harris', 'Marsha Stephanie Blake', 'Michael Kenneth Williams', 'John Leguizamo', 'Aunjanue Ellis-Taylor', 'Niecy Nash-Betts', 'Kylie Bunbury']","['Suzzanne Douglas', 'Felicity Huffman', 'Vera Farmiga', 'Len Cariou', 'William Sadler', 'Alexandra Templer', 'Adepero Oduye', 'Omar J. Dorsey', 'Joshua Jackson', 'Luis Avila', 'Famke Janssen', 'Christopher Jackson', 'Blair Underwood', 'Chukwudi Iwuji', 'Chris Chalk']",['Ava DuVernay'],"['Ava DuVernay', 'Julian Breece', 'Robin Swicord', 'Attica Locke', 'Michael Starrbury']","['Jeff Skoll', 'Jonathan King', 'Jane Rosenthal', 'Robert De Niro', 'Berry Welsh', 'Oprah Winfrey', 'Ava DuVernay']",N.A.,['Bradford Young'],"['Terilyn A. Shropshire', 'Spencer Averick', 'Michelle Tesoro']"
Friends,55,TV Series,No,1994,2004,8.9,"1,200,000","5,408",42,['NBC'],United States,['Comedy'],"['Warner Bros. Television', 'Bright/Kauffman/Crane Productions']",Marta Kauffman,229,10,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc', 'Matthew Perry', 'David Schwimmer']","['James Michael Tyler', 'Elliott Gould', 'Maggie Wheeler', 'Christina Pickles', 'Paul Rudd', 'Jane Sibbett', 'Helen Baxendale', 'Jessica Hecht', 'June Gable', 'Cali Sheldon', 'Noelle Sheldon', 'Tom Selleck', 'Giovanni Ribisi', 'Aisha Tyler', 'Eddie Cahill']","['David Crane', 'Marta Kauffman']",N.A.,"['David Crane', 'Marta Kauffman', 'Kevin S. Bright', 'Michael Borkow', 'Michael Curtis', 'Adam Chase', 'Greg Malins', 'Wil Calhoun', 'Scott Silveri', 'Shana Goldberg-Meehan', 'Andrew Reich', 'Ted Cohen']",N.A.,N.A.,N.A.
Last Week Tonight with John Oliver,56,TV Series,Yes,2014,,8.8,"101,000","11,050",42,['HBO'],United States,"['Comedy', 'Talk Show', 'News']","['Sixteen String Jack Productions', 'Avalon Television', 'Partially Important Productions', 'Borchard Entertainment']",John Oliver,339,12,['John Oliver'],"['Ryan Barger', 'David Kaye', 'Noel MacNeal', 'H. Jon Benjamin', 'James Wojtal', 'Rachel Dratch', 'Paul McGinnis', 'Kyle Ploof', ""Stephanie D'Abruzzo"", 'George Clooney', 'Michael Torpey', 'Connor Ratliff', 'Alberto Bonilla', 'Adam Newman', 'Nick Offerman']",['John Oliver'],N.A.,"['John Oliver', 'Tim Carvell', 'Liz Stanton', 'James Taylor', 'Jon Thoday']",N.A.,N.A.,N.A.
It's Always Sunny in Philadelphia,57,TV Series,Yes,2005,,8.8,"269,000","3,830",42,['FXX'],United States,['Comedy'],"['3 Arts Entertainment', 'Bluebush Productions', 'FX Productions', 'RCG Productions']",Rob Mac,175,17,"['Charlie Day', 'Glenn Howerton', 'Rob Mac', 'Kaitlin Olson', 'Danny DeVito']","['Mary Elizabeth Ellis', 'David Hornsby', 'Lynne Marie Stewart', 'Artemis Pebdani', 'Sandy Martin', 'Lance Barber', 'Andrew Friedman', 'Gregory Scott Cummins', 'Jimmi Simpson', 'Nate Mooney', 'Michael Naughton', 'Brian Unger', 'Catherine Reitman', 'Travis Schuldt', 'Bob Wiltfong']",['Rob McElhenney'],N.A.,"['Rob McElhenney', 'Glenn Howerton', 'Charlie Day', 'Michael Rotenberg', 'Nick Frenkel', 'John Fortenberry', 'Scott Marder', 'Rob Rosell', 'David Hornsby', 'Dan Attias', 'Matt Shakman', 'Megan Ganz', 'Dannah Phirman', 'Danielle Schneider', 'Nina Pedrad', 'Dave Chernin', 'John Chernin', 'Tom Lofaro', 'Victor Hsu']","['Fred Savage', 'Randall Einhorn', 'Eric Ledgin', 'Keyonna Taylor']","['Peter Smokler', 'John Tanzer', 'Eric Zimmerman']","['Josh Drisko', 'Tim Roche', 'Robert Bramwell', 'Skip Collector', 'Trevor Penna', 'Scott Draper', 'Steve Welch']"
